BENZIN Бензин
BENZIN_AVT6 Бензин на АВТ-6
BENZIN_M Бензин по массомерам
DF350 Диз.фракция 350'С
DF350_M Диз.фракция 350'С по массомерам
FC028B Нефть обессоленная. Для PI "материальные потоки"
FC107B Бензин. Для PI "материальные потоки"
FC194B Нефть. Для PI "материальные потоки"
FC196B Нефть обессоленная. Для PI "материальные потоки"
FC215B Нефть. Для PI "материальные потоки"
FI100B Бензин. Для PI "материальные потоки"
FI118B Бензин. Для PI "материальные потоки"
FIQ407B МАЗУТ(гудрон). Для PI "материальные потоки"
FIQ408B ЛВГ. Для PI "материальные потоки"
FIQ412B ТВГ. Для PI "материальные потоки"
FIQ413 Нефть. Для PI "материальные потоки"
FIQ414 Нефть. Для PI "материальные потоки"
FIQ415 Нефть обессоленная. Для PI "материальные потоки"
GAZ Газ
GAZ_PECH Газ на печи
GUDRON Гудрон на Битумную
GUDRON_UZR УЗР Гудрон на Битумную
KEROSIN Керосин
KEROSIN_M Керосин по массомеру
LDT ЛДТ
LDT_M ЛДТ
LVG ЛВГ
LVG_UZR УЗР - ЛВГ
MAZUT МАЗУТ(гудрон)
MAZUT_UZR УЗР - МАЗУТ(гудрон)
MODE Переключение режимов работы установки
MODEBAL Переключение режимов расчета материального баланса
NEFT Нефть, нефть обессоленая, вода и соли
NEFT_UZR УЗР - Нефть, нефть обессоленая, вода и соли
NEFTSYR Сырая нефть
NUL защита от отрицательных значений
PAR ПАР на установку
RASCHET Расчет баланса по шайбам
REFLUKS Рефлюкс
TDT ТДТ
TDT_M ТДТ по массомерам
TVG ТВГ
TVG_UZR УЗР - ТВГ
WATER Вода на установку
WATER_EZ Вода б/об. на эжектора
WATERE Вода на ЭЛОУ
ZATEMN ТВГ
ZATEMN_M Затемненный продукт по массомерам
ZHTPECHI Ж.топливо на печи
ZHTPECHI_M Ж.топливо на печи по массомерам
RASCHET_T Расчет баланса по турбинкам
D194 Сырая нефть
FI025 Острое орошение в К-1
FI038 Газы разложения из А-14
FI039 Газы разложения из Е-19
FI040 Газ с Е-15 на факел
FI118 Бензин из Е-1
FI148 Эмульсия в Э-3
FI149 Эмульсия в Э-4
FI171 Нефть в Э-3
FI172 Нефть в Э-4
FI180 Вода на ЭЛОУ
FI181 Вода на смеситель
FI327 Пар в К-1
FQIR413-1 Сырая нефть от Н-1 1п.
FQIR413-2 Сырая нефть от Н-1 1п.
FQIR414-1 Сырая нефть от Н-1 2п.
FQIR414-2 Сырая нефть от Н-1 2п.
FQIR415-1 Обессолененая нефть после Н-60
FQIR415-2 Обессолененая нефть после Н-60
FQIR416 Дизельная фракция до 350 С
FQIR426 Затемненный продукт с установки
LI006 Уровень в К-1
PI0001 Давление Н-1
PI219 Низ К-1
PI417 Бензин с уст-ки на АВТ-6
T1000 Тест
TI043 К-1 (шлем)
TI064 Низ К-1
TI117 Вак. газойль с установки
TI119 Сырая нефть после тепл.
TI130 Нефть после Т-16А (2 пот)
TI131 Сырье на установку
TI132 Нефть из Т-11 (1 поток)
TI133 Нефть из Т-2 (1 поток)
TI15 Выход из АВГ-1,2
TI155 ЛДТ от Т-6Б
TI210A Нефть в Э-3
TI210B Нефть в Э-4
TIA08 Выход из Х-1 в Е-1
GF Сброс газа на факел
LIA182A Уровень в Е-4
TEST_SOUND Проверка звука на АРМ
FC014 Нефть после Н-60
FC028 Нефть вК-1 (1 поток)
FC044 Местная ловушка
FC120 Вак. газойль с установки
FC185 Вода в Э-1
FC186 Вода в Э-2
FC194 Нефть от Н-1 1поток
FC196 Нефть вК-1 (2 поток)
FC198 Нефть в кальц. соду
FC215 Нефть от Н-1 2поток
FIQC417 Бензин с уст-ки на АВТ-6
LC109 Уровень в К-1 
LC109_1 Уровень в К-1 
LC110 Уровень в Е-1
LC182 Уровень в Е-4(дренаж)
LC187 Уровень Е-1 (дренаж)
LC187_1 Уровень Е-1 (дренаж)
LC189 Уровень в Э-1(дренаж)
LC190 Уровень в Э-2(дренаж)
LC219 Уровень в Э-3(дренаж)
LC220 Уровень в Э-4(дренаж)
PC081 Давление в К-1
PC228 Давление в Э-2
PC228_1 Давление в Э-2
TC012 Рефлюкс после Х-4
TC08 Рефлюкс после Х-1 в Е-1
TC40 Верх К-1
AIAH421 Содерж О2 в парогазовой фазе К-5
FI016 Квенчинг К-5
FI099 Лег.вак.газойль от Н-22 в Т-12
FI100 Бензин из Е-2
FI103 Лег.вак.диз. топливо от Н-101
FI106 Тяж.вак.газойль от Н-24 в Т-17
FI108 Гудрон с установки
FI116 Пар в К-2
FI301 Жид. топливо в П-1 л.ст.
FI302 Жид. топливо в П-1 пр.ст.
FI303 Жид. топливо в П-2 л.ст.
FI304 Жид. топливо в П-2 пр.ст.
FI316 Пар в К-3
FI425 Гудрон из Х-20 на Битумная
FQ084 Газ с установки
FQ085 Газ из К7
FQ230 Газ из Е-2 на печи
FQ231 Газ из Е-1,2 с установки
FQ330 Газ на печи с ОЗЛ
FQI084 Газ с установки
FQI085 Газ из К7
FQI117 Рефлюкс с установки
FQI230 Газ из Е-2 на печи
FQI231 Газ из Е-1,2 с установки
FQI330 Газ на печи с ОЗЛ
FQIR407 Мазут с установки
FQIR409-1 Легкое диз.топливо с установки
FQIR409-2 Легкое диз.топливо с установки
FQIR410 Керосин с установки
FQIR412 Тяжелый вак.газойль
FQIR419-1 Тяжелое диз.топливо с установки
FQIR419-2 Тяжелое диз.топливо с установки
FQIR425-1 Гудрон на битумную
L101 Верх К-5
L102 Середина К-5
L106 10 тарелка (ТВГ) К-5
L203 Уровень низа К5
LI105 Куб К-5
LI113 Баром. ловушка
LI118 Баром. ловушка
PI024 Выкид насоса H-24
PI025 Выкид насоса H-25
PI034 Выкид насоса H-34
PI049 Выкид насоса H-49
PI085 Давление в Е-1
PI101 Выкид насоса H-101A/Б
PI101A Давление с насоса H-101A
PI102 Куб К-5
PI103 Всас Н-32
PI107 Верх К-5
PI111 Середина К-5
PI121 Отбенз.нефть в П-1 1поток
PI121A Отбенз.нефть в П-1 3поток
PI211 Газ в П-1 л.ст.
PI212 Газ в П-1 пр.ст.
PI213 Газ в П-2 л.ст.
PI218 Газ в П-2 пр.ст.
PI312 Пар на эжекторы
